,Gradient descent,1 step gradient descent
-3.0,0.6971877394104569,0.7535204345628921
-2.95,0.6786945902017492,0.7359450226961991
-2.9000000000000004,0.6768414767042807,0.7321327212914874
-2.8500000000000005,0.6747019132632139,0.7313952631884744
-2.8000000000000007,0.674678745010371,0.7340398906838519
-2.750000000000001,0.6902640909418806,0.7525503087839008
-2.700000000000001,0.6598124189932114,0.716292712770015
-2.6500000000000012,0.6770564544722113,0.7417618988848386
-2.6000000000000014,0.6674912699436727,0.729789129264267
-2.5500000000000016,0.6772499385498655,0.7451364117181313
-2.5000000000000018,0.6876414954788864,0.7532084404745991
-2.450000000000002,0.6714166487438055,0.7368324170955273
-2.400000000000002,0.6753931379587128,0.740921039743686
-2.3500000000000023,0.6755431793853865,0.7448686430115437
-2.3000000000000025,0.6905027678887965,0.7624897331871301
-2.2500000000000027,0.6781381907460587,0.7456571590098736
-2.200000000000003,0.6891992674087382,0.7615556253425881
-2.150000000000003,0.6814424602147675,0.7497197944046043
-2.100000000000003,0.6930223628790015,0.7684970061295517
-2.0500000000000034,0.6907502662646209,0.7685492690051464
-2.0000000000000036,0.6757291885886659,0.7463820248583047
-1.9500000000000037,0.6777280611379006,0.7445149410232811
-1.900000000000004,0.6828247437829993,0.7554750257234887
-1.850000000000004,0.676842816793014,0.742536005681766
-1.8000000000000043,0.6798544585157271,0.7389523626650343
-1.7500000000000044,0.6897155022010049,0.7562794379229534
-1.7000000000000046,0.6830893687995959,0.7420968221847429
-1.6500000000000048,0.6787836355189172,0.7355687714563888
-1.600000000000005,0.6755311019764146,0.7298730224102052
-1.5500000000000052,0.6763587606127558,0.7246469357591427
-1.5000000000000053,0.6858315905050898,0.7257134893327374
-1.4500000000000055,0.6758060229602074,0.7047421184110606
-1.4000000000000057,0.6939169791497862,0.721122693408104
-1.3500000000000059,0.6834864277749982,0.6952248616979505
-1.300000000000006,0.6917593818076964,0.7029403030630522
-1.2500000000000062,0.6827209218252169,0.6790221631904001
-1.2000000000000064,0.690301522586511,0.6563093183508691
-1.1500000000000066,0.691899493630777,0.6415915501220524
-1.1000000000000068,0.6914912181996163,0.5837023456943389
-1.050000000000007,0.693054589996749,0.5563009852696992
-1.000000000000007,0.6894379320970341,0.48908879591885257
-0.9500000000000073,0.6903907826595324,0.40359665285289914
-0.9000000000000075,0.69289421382706,0.332486495522542
-0.8500000000000076,0.7014668771271286,0.25806191065674283
-0.8000000000000078,0.7026449729218842,0.2078827930204679
-0.750000000000008,0.6972060423484044,0.14796614958662052
-0.7000000000000082,0.6840661925961596,0.15314998256411236
-0.6500000000000083,0.6839802555192714,0.15418219906744526
-0.6000000000000085,0.6957911863732411,0.162717187305988
-0.5500000000000087,0.7045700406521962,0.16631575176276506
-0.5000000000000089,0.697043321289376,0.1773115209406279
-0.45000000000000906,0.6968248358908226,0.1938127971912404
-0.40000000000000924,0.6991452966884361,0.1914179549394184
-0.3500000000000094,0.7059326896867031,0.19568654991525358
-0.3000000000000096,0.6850000687298713,0.20549820103039684
-0.25000000000000977,0.6953283333666896,0.21300107337798918
-0.20000000000000995,0.704567014904294,0.2116317384148253
-0.15000000000001013,0.7044359645706413,0.21964263648751947
-0.1000000000000103,0.7058604363473754,0.22126254734790352
-0.05000000000001048,0.6982845139358872,0.22833415899288267
-1.0658141036401503e-14,0.7163179857085118,0.23877162654488493
0.049999999999989164,0.6989577993426715,0.23203813118136749
0.09999999999998899,0.7144760229621759,0.24391425505912584
0.1499999999999888,0.707706550818429,0.2390789346831318
0.19999999999998863,0.695007899921573,0.23847861477912488
0.24999999999998845,0.7019962396771019,0.24762262113463282
0.2999999999999883,0.7083967436058989,0.243968866596145
0.3499999999999881,0.7070243010282934,0.2543821785499008
0.3999999999999879,0.7126079736412275,0.24642187595260226
0.44999999999998774,0.704026706196642,0.24816154848599353
0.49999999999998757,0.7066227520074146,0.24946165381751884
0.5499999999999874,0.7166211773275494,0.2561535430353944
0.5999999999999872,0.7147280675341657,0.253837082334503
0.649999999999987,0.6937814546425624,0.2520958551992881
0.6999999999999869,0.7103196784712983,0.26448634388842374
0.7499999999999867,0.7115136893432156,0.26406165956376226
0.7999999999999865,0.7084363206532772,0.2680646127156962
0.8499999999999863,0.7134257575055629,0.2603044307770681
0.8999999999999861,0.7012944180527684,0.260095818155344
0.949999999999986,0.7139532841712075,0.2685040901153269
0.9999999999999858,0.7196700271441058,0.27146515720544595
1.0499999999999856,0.7177057375556836,0.27036998948674296
1.0999999999999854,0.7005807946921676,0.2675516913820004
1.1499999999999853,0.7162895853796565,0.26536130928295626
1.199999999999985,0.7347951788471512,0.2778223971463533
1.249999999999985,0.702675641631726,0.26864157651838166
1.2999999999999847,0.7272821591166723,0.274287346689406
1.3499999999999845,0.715905618707564,0.27902275538391874
1.3999999999999844,0.7055396119478833,0.2769301190525515
1.4499999999999842,,0.27383985072647665
1.499999999999984,0.6955411309515049,0.2723276822653671
1.5499999999999838,0.7085262076449089,0.27696831075820416
1.5999999999999837,,0.27522589959478505
1.6499999999999835,,0.2784655425720911
1.6999999999999833,,0.27418813538488623
1.7499999999999831,,0.28100810937726256
1.799999999999983,,0.2813005743739789
1.8499999999999828,,0.27673202444984407
1.8999999999999826,,0.28521888215976104
1.9499999999999824,,0.27472902972729407
1.9999999999999822,,0.280850041663265
2.049999999999982,,0.28119545421471387
2.099999999999982,,0.2856585759838279
2.1499999999999817,,0.27802395850177886
2.1999999999999815,,0.2775896826135556
2.2499999999999813,,0.29156633159742545
2.299999999999981,,0.2871558460392953
2.349999999999981,,0.27389788626876
2.399999999999981,,0.2828823654022865
2.4499999999999806,,0.289434212470211
2.4999999999999805,,0.28756213284714865
2.5499999999999803,,0.27277550535406286
2.59999999999998,,0.28138235165420283
2.64999999999998,,0.28956882401635575
